"09","09_A_D_E_F"
"0A","0A_E"
"12","12_A_D_F"
"19","19"
"2F","2F_A_D"
"2G","2G_A_D_E"
"2H","2H_A_D_E_F"
"2J","2J_A_D_E"
"2K","2K_A_D"
"2M","2M_A_D_E"
"2N","2N_A_D"
"2P","2P_A_D_E"
"2Q","2Q_A_D"
"2R","2R_A_D_E"
"2T","2T_A_D_E"
"2U","2U_A_D"
"38","38_A_D"
"3A","3A_A_D_E"
"3C","3C_A_D_E"
"3D","3D"
"3E","3E_A"
"3F","3F_A_E"
"3G","3G_A_D_E"
"3H","3H_A_D_E"
"3J","3J_A_D_E"
"3K","3K_A_E"
"3M","3M_A_D_E"
"3N","3N_A_D_E"
"3P","3P_A_D"
"3Q","3Q_A_D"
"3R","3R_A_E"
"3T","3T_A_D"
"3U","3U_A_D_E"
"42","42_R_S_1T_5T"
"44","44_R_S_1T_5T"
"4A","4A_A_D_E"
"4C","4C_A_D_E"
"4D","4D_A_D_E"
"4E","4E_A_D"
"4F","4F_A"
"4G","4G_A_D_E"
"4H","4H_A_D_E"
"4J","4J_A_D"
"4K","4K_A_E"
"4M","4M_A_D_E"
"4N","4N_A_D_E"
"4P","4P_A_D_E"
"4Q","4Q_R_S_1T"
"4R","4R_R_S"
"4T","4T_R_S"
"4U","4U_R_S"
"5K","5K_A_D_E"
"5M","5M"
"5N","5N_E_F"
"5P","5P_E"
"69","69_A_D_E_F"
"70","70_A_D_E_F"
"71","71_A_D_E_F"
"72","72_A_D_E"
"73","73_A_D_E_F"
"74","74_A_D_F"
"75","75_A_D_E_F"
"78","78_A_D_E_F"
"8P","8P_A"
"8Q","8Q_A"
"8R","8R_A"
"8T","8T_A"
"8U","8U_A_D"
"8W","8W_A"
"8X","8X_A_D"
"8Y","8Y_A"
"8Z","8Z_A_D"
"9A","9A_A_D"
"9B","9B_A_D"
"9C","9C_A_D"
"9D","9D"
"9E","9E_A_D"
"9F","9F_A_D"
"9G","9G_A_D"
"9H","9H_A_D"
"9J","9J"
"9K","9K_A_D_F"
"9L","9L_A_D_E"
"9M","9M_A_D_E"
"9N","9N_R"
"9P","9P_R_S_1T"
"9Q","9Q_E_F"
"9R","9R_E"
"9T","9T_E"
"9U","9U_E"
"9W","9W_E"
"9X","9X_A_D"
"9Y","9Y_A_D"
"AF","AF_R_S_1T"
"AK","AK_A_D_E"
"AM","AM_A_D_E"
"AT","AT_A_D_E"
"BC","BC_A_D_E"
"BF","BF_A_D_E_F"
"BG","BG_A_D_E_F"
"BM","BM_A_D_E"
"BP","BP_A_D_E"
"CN","CN_R_S_1T"
"CP","CP_R_S"
"CQ","CQ_R_S_1T"
"DC","DC_R_S_1T"
"DJ","DJ"
"DK","DK_R_S_1T"
"DM","DM_R_S_1T"
"E8","E8_A_D"
"EA","EA_R_S_1T"
"EH","EH"
"ER","ER_R_S_1T"
"F1","F1_A_D_E_F"
"F2","F2_A_D_E"
"F3","F3_A_D_E"
"F4","F4_A_D_E"
"F5","F5_A"
"F6","F6_A_D_E_F"
"F7","F7_A_D_E"
"F8","F8_A_D_E_F"
"FH","FH_A_D_E"
"FN","FN_R"
"G0","G0_A_D_E_F"
"G1","G1_A"
"G2","G2_A_D_E_F"
"G3","G3_A_D_E"
"G4","G4"
"G8","G8_A_D_E"
"G9","G9_R_S_1T"
"GT","GT_R_S_1T_5T"
"H0","H0_A_D"
"HC","HC_R_S_1T"
"HD","HD_E_F"
"HE","HE_E_F"
"HF","HF"
"HG","HG"
"HH","HH"
"HJ","HJ_E"
"HK","HK_E"
"HL","HL"
"HM","HM_A_D"
"HN","HN_A_D"
"HP","HP_A"
"HQ","HQ"
"HR","HR_A"
"HT","HT_A"
"HU","HU_A_D"
"HW","HW_R_S"
"HX","HX_E"
"HY","HY_E"
"HZ","HZ_E"
"JA","JA_E"
"JB","JB_E"
"JC","JC_E"
"JD","JD"
"JE","JE_A_D_E"
"JF","JF_A_D_E"
"JG","JG_E_F"
"JH","JH_E"
"JJ","JJ_E_F"
"JK","JK_E_F"
"JL","JL_E_F"
"JM","JM_A_D"
"JN","JN_A"
"JQ","JQ_E"
"JR","JR_E"
"JT","JT_E"
"JU","JU_E_F"
"JW","JW_E"
"JX","JX_E_F"
"JY","JY_E"
"JZ","JZ_E"
"K2","K2_A_D_E_F"
"K5","K5_A_D"
"KA","KA"
"KB","KB_A_D"
"KC","KC_E"
"KD","KD_R_S"
"KE","KE_E"
"KG",
"L2","L2_A_D_E"
"L4","L4_A"
"L8","L8_R_S_1T_5T"
"M7","M7_R_S_1T_5T"
"P1","P1_A_D_E_F"
"P2","P2_R_S_1T_5T"
"P9","P9_R_S_1T"
"Q0","Q0_R_S"
"Q1","Q1_R_S"
"Q2","Q2_R_S"
"Q3","Q3_R_S"
"R6","R6_A_D_E_F"
"T1","T1_R_S_1T"
"W5","W5_A_D_E"
"X5","X5_A_D_E"
"Y0","Y0_R_S_1T_5T"
"Y1","Y1_R_S_1T"
"Z7","Z7_R_S"
